date,keyword,name,artists,url,image
2024-05-22,케이팝,Dynamite,BTS,https://open.spotify.com/track/5QDLhrAOJJdNAmCTJ8xMyW,https://i.scdn.co/image/ab67616d0000b273c07d5d2fdc02ae252fcd07e5
2024-05-22,케이팝,Dynamite,BTS,https://open.spotify.com/track/5QDLhrAOJJdNAmCTJ8xMyW,https://i.scdn.co/image/ab67616d0000b273c07d5d2fdc02ae252fcd07e5
2024-05-22,케이팝,Dynamite,BTS,https://open.spotify.com/track/5QDLhrAOJJdNAmCTJ8xMyW,https://i.scdn.co/image/ab67616d0000b273c07d5d2fdc02ae252fcd07e5
2024-05-22,케이팝,Dynamite,BTS,https://open.spotify.com/track/5QDLhrAOJJdNAmCTJ8xMyW,https://i.scdn.co/image/ab67616d0000b273c07d5d2fdc02ae252fcd07e5
2024-05-22,판타지,Main Theme - Desolation,"Alan Howarth, Larry Hopkins",https://open.spotify.com/track/0UhDZa2lBi7iyKtWXpby59,https://i.scdn.co/image/ab67616d0000b273b64ff95b087e23fdf87e71c0
2024-05-22,행복,Glass Bead,GFRIEND,https://open.spotify.com/track/2rFRa1eJ8RqlINbJCZwdtt,https://i.scdn.co/image/ab67616d0000b27303d5d3c9a2d4360379c2c78b
2024-05-22,케이팝,Dynamite,BTS,https://open.spotify.com/track/5QDLhrAOJJdNAmCTJ8xMyW,https://i.scdn.co/image/ab67616d0000b273c07d5d2fdc02ae252fcd07e5
2024-05-22,행복,Glass Bead,GFRIEND,https://open.spotify.com/track/2rFRa1eJ8RqlINbJCZwdtt,https://i.scdn.co/image/ab67616d0000b27303d5d3c9a2d4360379c2c78b
2024-05-22,청량,Mansae,SEVENTEEN,https://open.spotify.com/track/5rIsrawNyPv1q8v11iwJsh,https://i.scdn.co/image/ab67616d0000b273f618df1d39bfabf3d8e9a042
2024-05-22,커피,Forever For Now,Isak Thomas,https://open.spotify.com/track/4gjmck1RScPM8i2zhsvMlo,https://i.scdn.co/image/ab67616d0000b27346956c4a43150f4b93f73140
2024-05-22,커피,Forever For Now,Isak Thomas,https://open.spotify.com/track/4gjmck1RScPM8i2zhsvMlo,https://i.scdn.co/image/ab67616d0000b27346956c4a43150f4b93f73140
2024-05-22,로판,Card Castles in the Sky,Jason Tai,https://open.spotify.com/track/3hnG0BnOilJ8eCoYxvFP7N,https://i.scdn.co/image/ab67616d0000b273687d74aa929cb341b7d07a84
2024-05-22,행복,Glass Bead,GFRIEND,https://open.spotify.com/track/2rFRa1eJ8RqlINbJCZwdtt,https://i.scdn.co/image/ab67616d0000b27303d5d3c9a2d4360379c2c78b
2024-05-22,행복,Glass Bead,GFRIEND,https://open.spotify.com/track/2rFRa1eJ8RqlINbJCZwdtt,https://i.scdn.co/image/ab67616d0000b27303d5d3c9a2d4360379c2c78b
2024-05-22,행복,Glass Bead,GFRIEND,https://open.spotify.com/track/2rFRa1eJ8RqlINbJCZwdtt,https://i.scdn.co/image/ab67616d0000b27303d5d3c9a2d4360379c2c78b
2024-05-22,real,Dead God Graveyard,Oliver Buckland,https://open.spotify.com/track/1o0NwqqYKEZYSyCrrDo6L6,https://i.scdn.co/image/ab67616d0000b273c4c8e5e16245019425a8996e
2024-05-22,행복,Glass Bead,GFRIEND,https://open.spotify.com/track/2rFRa1eJ8RqlINbJCZwdtt,https://i.scdn.co/image/ab67616d0000b27303d5d3c9a2d4360379c2c78b
2024-05-22,도서,The Beach (Instrumental Sped Up),mxpheebz,https://open.spotify.com/track/5QULCdTzKQY46QNNMXMWa6,https://i.scdn.co/image/ab67616d0000b2734a679948c0ae3cf2e622dedf
2024-05-22,악뮤,Mood,DPR IAN,https://open.spotify.com/track/0nEsLR5KTySCO9CfyC2yjg,https://i.scdn.co/image/ab67616d0000b2738ac536a8b7cdb157509399a7
2024-05-22,악뮤,SUNSET,NAYEON,https://open.spotify.com/track/6jSauW5Y6KqoQqhE75SWKY,https://i.scdn.co/image/ab67616d0000b2735fb4a9cfbeb3b7beb337ed02
2024-05-22,성공,Make A Wish (Birthday Song) - English Version,NCT U,https://open.spotify.com/track/1iPmAMVMqoT2ZromLzo305,https://i.scdn.co/image/ab67616d0000b2734525dae431a233a077d2395c
2024-05-22,하루,YO-HO FREESTYLE,Woodie Gochild,https://open.spotify.com/track/6wyzCis1CnlObs88ttVmWw,https://i.scdn.co/image/ab67616d0000b2734fa8d464451ed316683179ac
