date,keyword,name,artists,url,image
2024-05-22,bad,Lose My Breath (Feat. Charlie Puth),"Stray Kids, Charlie Puth",https://open.spotify.com/track/2DXavoWAmIHlrECHPM1Vca,https://i.scdn.co/image/ab67616d0000b2735ba0dedb513880cf318f15cb
2024-05-22,better,When the door opens,JT&MARCUS,https://open.spotify.com/track/1P0B7bgi2NfSoAM5awO1r0,https://i.scdn.co/image/ab67616d0000b273d7133d4e5236027585818f89
2024-05-22,good,Dynamite,BTS,https://open.spotify.com/track/5QDLhrAOJJdNAmCTJ8xMyW,https://i.scdn.co/image/ab67616d0000b273c07d5d2fdc02ae252fcd07e5
2024-05-22,불쾌,LILAC,IU,https://open.spotify.com/track/5xrtzzzikpG3BLbo4q1Yul,https://i.scdn.co/image/ab67616d0000b2734ed058b71650a6ca2c04adff
2024-05-22,공포,Pastoral Morning,Heo Sang Eun,https://open.spotify.com/track/15kPAMiCh8iQOvXUgs3uLK,https://i.scdn.co/image/ab67616d0000b273abdb1b890060b4e80df9ba84
2024-05-22,로판,Card Castles in the Sky,Jason Tai,https://open.spotify.com/track/3hnG0BnOilJ8eCoYxvFP7N,https://i.scdn.co/image/ab67616d0000b273687d74aa929cb341b7d07a84
2024-05-22,판타지,Main Theme - Desolation,"Alan Howarth, Larry Hopkins",https://open.spotify.com/track/0UhDZa2lBi7iyKtWXpby59,https://i.scdn.co/image/ab67616d0000b273b64ff95b087e23fdf87e71c0
2024-05-22,공포,Pastoral Morning,Heo Sang Eun,https://open.spotify.com/track/15kPAMiCh8iQOvXUgs3uLK,https://i.scdn.co/image/ab67616d0000b273abdb1b890060b4e80df9ba84
2024-05-22,슬픔,Here With Me,d4vd,https://open.spotify.com/track/5LrN7yUQAzvthd4QujgPFr,https://i.scdn.co/image/ab67616d0000b27364fa1bda999f4fbd2b7c4bb7
2024-05-22,행복,Glass Bead,GFRIEND,https://open.spotify.com/track/2rFRa1eJ8RqlINbJCZwdtt,https://i.scdn.co/image/ab67616d0000b27303d5d3c9a2d4360379c2c78b
2024-05-22,슬픔,Here With Me,d4vd,https://open.spotify.com/track/5LrN7yUQAzvthd4QujgPFr,https://i.scdn.co/image/ab67616d0000b27364fa1bda999f4fbd2b7c4bb7
2024-05-22,하이,Young Boy,NINE.i,https://open.spotify.com/track/6FyutIs4pHcf6hKGIHuI2X,https://i.scdn.co/image/ab67616d0000b2734b1d6c487af1264b71ed14e3
2024-05-22,행복,Glass Bead,GFRIEND,https://open.spotify.com/track/2rFRa1eJ8RqlINbJCZwdtt,https://i.scdn.co/image/ab67616d0000b27303d5d3c9a2d4360379c2c78b
