keyword,valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,cluster_label
real,0.0395,2022,0.873,kxrrvpt,0.555,72677,0.126,0,0htSDiQvRenksdyUat3CmP,0.0083,6,0.108,-16.542,0,it hurts so bad,0,2022-12-01,0.218,64.75,1
real,0.0787,2022,0.965,leadwave,0.346,93000,0.0322,0,1X23sVR7Rm1eK4mjBxKJPP,0.799,9,0.0842,-30.638,0,unfortunately,58,2022-12-30,0.0306,80.052,11
real,0.184,2023,0.742,HeadHunter,0.497,144004,0.2,0,1AtCUmu5LFkz2kE0qWqGXa,0.843,11,0.114,-19.415,1,i think im still damaged - instrumental,0,2023-01-30,0.0503,127.693,11
real,0.102,2023,0.717,kxrrvpt,0.461,47205,0.172,0,1JNdVCcMqDVifY1pzpDb1K,0.0441,7,0.132,-11.938,1,I'm Tired (outro),0,2023-01-20,0.0604,77.575,1
real,0.154,2022,0.942,tonyjesusxo,0.0995,265104,0.046,0,1gxB37MJj248LtANpH9t7y,0.907,6,0.0999,-28.865,1,grouper poison tree slowed,9,2022-11-15,0.0365,70.147,11
real,0.308,2022,0.904,kxrrvpt,0.456,55587,0.259,0,4AwNbegOgy6Z5u7wYgjNqM,0.0,1,0.116,-11.441,1,interlinked,0,2022-12-03,0.0402,88.341,8
real,0.039,2020,0.93,Wishing,0.164,163993,0.516,0,013L1ZodWo9Ax2g9LejC9O,0.929,1,0.0857,-15.492,1,Goodnight Dad I Love You,67,2020-04-01,0.0543,127.276,11
real,0.594,2023,0.805,Azulalp,0.783,120140,0.373,0,3JlGOO34q1LCrLKzYnAKNy,0.729,7,0.122,-15.307,0,The Loneliness,0,2023-02-18,0.0923,142.535,7
real,0.0256,2022,0.912,Father2006,0.286,527152,0.636,0,1iiKZJbBDWo70X4eIooPfA,0.963,3,0.128,-14.192,0,Reflection - Alt Version,36,2022-11-03,0.0394,131.196,11
real,0.145,2023,0.82,The Lonely Tree,0.315,239000,0.15,0,7h2Hwtd90wbHrZgKufoSPv,0.864,5,0.104,-20.718,0,all alone in the rain,0,2023-01-25,0.0317,113.194,11
