keyword,valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,cluster_label
놀람,0.286,2024,0.0185,"deMusiax, moerlsi, Tunnel Factory",0.77,193200,0.904,0,4DPyZopLCwNsXNiZZTwWI2,0.00808,1,0.304,-2.159,1,Festival-Wecker 2.0,30,2024-04-26,0.148,100.062,10
놀람,0.748,2024,0.237,"KONIG, Sebastian Schulz",0.695,117375,0.774,0,0WDU0z3vv5jST1voX9UCMz,0.135,11,0.19,-10.24,0,Mein Name ist Sebastian Schulz,21,2024-05-07,0.273,160.018,0
놀람,0.366,2023,0.0451,"BLVCK CROWZ, OG SIX",0.626,174840,0.981,0,1cLWcJYlWayhQhu8nkA1Nr,8.48e-05,1,0.168,-0.773,1,Biele Biele Biele,44,2023-12-14,0.308,180.137,2
놀람,0.933,2005,0.0189,Günther,0.718,245160,0.949,0,2LELFaNglE9B5xlcmd4qtQ,0.0479,11,0.328,-4.629,0,Ding Dong Song - Radio Edit,54,2005-10-11,0.0412,131.98,0
놀람,0.483,2024,0.00132,Snake16,0.392,107368,0.954,0,2AL6gVfsIHKJv9dmF6YtW5,0.28,11,0.486,-2.709,1,IN DIE BIOTONNE,42,2024-01-30,0.087,190.073,2
놀람,0.839,2024,0.0176,"Captain Jack, Paul Keen",0.634,111484,0.856,0,4NmD5oF5nk1duZ9VPI2J8W,0.000364,8,0.0833,-6.48,0,Captain Jack - Paul Keen Remix,48,2024-04-19,0.173,155.043,0
놀람,0.3,2023,0.0038,"Harris & Ford, Wolfgang Petry",0.542,207000,0.989,0,0eSFruHLPtA1dbwvo4i988,9.43e-05,9,0.296,-2.357,1,Wahnsinn,45,2023-12-29,0.0906,160.013,2
놀람,0.697,1992,0.3,Die Flippers,0.611,224160,0.662,0,4RFiNPW3ND94D0cravoOFN,0.000643,11,0.323,-12.246,0,Lotosblume - DAS ORIGINAL,50,1992,0.0379,115.822,0
놀람,0.816,2024,0.000303,Snake16,0.707,97333,0.979,0,4qyLNaR7XNJuIGnMaDgQ6n,0.243,2,0.317,-1.947,1,HALLO!,22,2024-05-17,0.192,179.982,10
놀람,0.758,2023,0.00208,"Tream, STVW, HBz",0.491,176800,0.902,0,4V2xJjJ9ObyIJqqi98M4Nz,0.0,1,0.0758,-3.135,1,LEBENSLANG - STVW & HBz Remix,37,2023-09-15,0.0533,75.0,10
놀람,0.32,2023,0.0368,"Lil Texas, Pinotello",0.769,125878,0.923,0,6aj1Dab1QH9zwofkE4nDIY,0.595,7,0.898,-1.203,1,Spongebob,57,2023-10-04,0.255,100.085,6
놀람,0.239,2023,0.00843,"HARRY, NoooN",0.731,104647,0.907,0,7mvO0bLX8B7Ack9DvpTTPZ,0.433,4,0.0846,-3.326,0,Nudeln - NoooN Remix,35,2023-11-24,0.0781,169.954,2
