keyword,valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,cluster_label
두려움,0.0575,2024,0.146,Jang Je Heon,0.377,285000,0.432,0,2433gPXSV8FK2iXkNVMNNt,0.836,3,0.547,-8.671,1,Seoul Land - Inst.,0,2024-04-05,0.0284,68.016,6
두려움,0.105,2013,0.849,marco,0.284,179737,0.2,0,0PxjB1RDNENn6wsaJkOeId,0.128,9,0.115,-15.375,0,절망,8,2013-01-16,0.041,77.364,1
두려움,0.0884,2015,0.973,"Kim Ji Soo, Choi Seong Geun",0.335,160753,0.118,0,1Ki6af5QNRKVrwkrx7T5vs,0.184,2,0.155,-16.155,1,One for Me,34,2015-10-25,0.0389,124.274,8
두려움,0.546,2009,0.933,Eom Ki Yup,0.348,116520,0.163,0,2IOc812rg52YePRrFKNwQD,0.912,7,0.134,-15.855,1,Lilium concolor,13,2009-09-14,0.0511,119.346,11
두려움,0.218,2018,0.885,"Nam Hye Seung, Park Sang Hee",0.685,153563,0.0608,0,1xmPYMRjd3rjGWowaNpinL,0.782,2,0.105,-12.323,1,What is the Love?,15,2018-10-01,0.0419,118.092,11
두려움,0.0548,2023,0.795,Jang Je Heon,0.552,256587,0.0673,0,1uQZcftkMCJEpg6MtYQHYa,0.618,1,0.342,-16.664,1,The Name of All Coincidences,0,2023-09-09,0.0376,109.874,11
두려움,0.21,2010,0.877,"Choi Sung Wook, 김지수",0.196,134800,0.157,0,1zxsXN2SJnUwhdAxBCHDeY,0.785,9,0.101,-14.999,0,Minor Waltz,18,2010-04-15,0.038,82.649,11
두려움,0.139,2021,0.978,PARK MIN JI,0.28,167333,0.111,0,4QnsDmU9cXhdunzphzIndy,0.615,7,0.124,-12.466,1,Nostalgic Heart,23,2021-11-30,0.0404,129.612,11
두려움,0.0611,2013,0.969,Oh Joon Sung,0.235,107886,0.0622,0,6jfy5UauxKtW4ocyheaZYg,0.756,7,0.104,-15.157,0,Tears in Rain,21,2013-08-28,0.0402,78.162,11
두려움,0.0737,2019,0.97,설연지,0.478,111234,0.0693,0,3ZyoOoJiHqaMqydIAztDEa,0.95,4,0.0985,-19.571,1,A Hard Day,20,2019-02-04,0.0401,124.01,11
