keyword,valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,cluster_label
불쾌,0.956,2021,0.246,thquib,0.727,73412,0.911,0,4sYUhDDaWOSEsnCvvqfWKv,0.128,1,0.1,-8.135,0,i am now going to bark at you,57,2021-02-20,0.0491,170.0,10
불쾌,0.873,2023,0.197,"Lil Big Stack, kkbutterfly27xx",0.801,68926,0.888,0,5aScaOmYqiIOIbLS1ZuqHt,0.238,6,0.101,-5.726,0,Skibidi Fortnite - Sped Up Female Version,51,2023-11-24,0.0895,160.227,0
불쾌,0.75,2019,0.229,"100 gecs, Laura Les, Dylan Brady",0.68,114460,0.659,0,61bwFjzXGG1x2aZsANdLyl,0.0,6,0.474,-7.186,1,money machine,60,2019-05-31,0.151,98.877,0
불쾌,0.932,2006,0.438,Lemon Demon,0.722,187585,0.644,0,29Pj4JiHwsQm6d7g5ne5Aw,0.0,0,0.403,-6.633,1,Vow of Silence,47,2006-07-20,0.0577,174.981,10
불쾌,0.707,2023,0.0282,"QUEEF JERKY, ethan is online",0.762,133548,0.72,0,64mVRU16JnGCm6gwCQPB9a,0.00128,10,0.321,-7.91,0,PINEAPPLE UPSIDE DOWN,43,2023-07-28,0.0679,123.97,0
불쾌,0.643,2022,0.53,ritanj,0.891,78158,0.888,0,2XvYygMSJRFO2hnozlu8TV,0.0297,10,0.179,-14.686,1,Go Kitty Go,43,2022-02-15,0.375,135.018,0
불쾌,0.148,2021,0.731,Soupy Garbage Juice,0.808,68000,0.363,0,1BjfWRvzJiCMvO6Jmm1scX,0.0,4,0.103,-6.827,0,I Swallowed Shampoo,49,2021-03-03,0.211,81.581,8
불쾌,0.797,2019,0.0529,"100 gecs, Laura Les, Dylan Brady",0.526,121682,0.902,0,23Dapn8107GgxvXDIsPwWm,0.0,3,0.531,-4.876,1,stupid horse,54,2019-05-31,0.314,168.188,2
불쾌,0.804,2014,0.000418,Lemon Demon,0.749,244373,0.57,0,2ZDyf27V6u99YgChCffKSy,2.88e-05,4,0.0705,-12.084,1,My Trains,45,2014-11-02,0.0545,110.031,10
불쾌,0.648,2008,0.00244,Lemon Demon,0.58,177831,0.527,0,2spcFt2UoCNsEuxVa6lC30,0.22,0,0.104,-11.542,1,Modify,58,2008-08-01,0.0664,179.99,10
불쾌,0.4,2020,0.0163,Cyriak Harris,0.713,145335,0.678,0,2lx3KjCKt6K9ANXZViY6Nv,0.0394,1,0.24,-11.231,0,Kitty City,57,2020-07-04,0.0266,90.042,10
불쾌,0.867,2022,0.00391,japanesecoffee,0.849,133236,0.909,0,2HKzjI21jRSjVarDs4XfVo,0.000519,5,0.132,-5.742,1,THE MEAT GRINDER,51,2022-12-22,0.228,130.025,10
불쾌,0.952,2015,9.09e-05,The Living Tombstone,0.518,143589,0.955,0,5WkG5v5g0MfG3FqyImP3BN,0.026,1,0.31,-2.202,0,Squid Melody - Blue Version,52,2015-09-06,0.0453,152.994,10
불쾌,0.622,2022,0.571,SacriStuff,0.542,148800,0.967,0,5oGJnqZnfDme9WyJgfaNRm,0.0,4,0.205,1.175,1,VIRUS,47,2022-05-24,0.0705,87.457,10
불쾌,0.22,2024,0.366,"xanoover679, xaviorthemachine, alper6nen",0.784,107630,0.971,0,5Nza9lCxdDErkogdG2mLsj,0.0311,11,0.345,-8.469,0,2k21,53,2024-02-01,0.219,145.034,0
불쾌,0.0362,2022,0.0982,APOCALIPSIS,0.641,114335,1.0,0,1OTTsC0cNRDUXNTULzJMsu,0.926,2,0.64,0.008,1,You Are an Idiot! - Alternative Version [Sped Up],56,2022-09-07,0.283,95.025,6
불쾌,0.555,2017,0.598,OMFG,0.829,191743,0.649,0,0rqkWGtTnfK7ZAbesB7HsY,0.000254,8,0.236,-4.126,1,Dying,48,2017-08-13,0.0567,103.284,0
불쾌,0.343,2005,0.196,Tally Hall,0.58,222107,0.791,0,3vFZheR74pxUkzxqhXTZ2X,0.00326,11,0.0793,-7.604,0,Ruler of Everything,63,2005-10-24,0.324,83.323,0
불쾌,0.847,2022,1.34e-05,DaDood,0.722,179980,0.91,0,6PnHNmgO8xRgbzXpSGCgZ7,0.921,7,0.0754,-10.847,0,Rambunctious Beet,40,2022-01-14,0.0607,160.057,0
불쾌,0.525,2007,0.0639,Funtastic Power!,0.471,133773,0.798,0,1IU3CoKvH2xlckH6oviy7P,0.373,7,0.0622,-8.764,0,Sparta - Remix,47,2007,0.0358,140.021,2
불쾌,0.886,2023,0.00892,stalgirem,0.812,133201,0.528,0,78gunRnspy9ClL8VqfQ6VC,0.0,0,0.441,-10.045,1,Cry Babies,24,2023-04-07,0.0378,110.07,10
불쾌,0.424,2008,0.276,Lemon Demon,0.571,259062,0.73,0,1TDeYPC9ZJv2XE9E9zVQN7,0.0,0,0.145,-11.159,1,Knife Fight,48,2008-08-01,0.417,79.988,10
불쾌,0.0373,2022,0.00011,Sophiaaaahjkl;8901,0.658,266890,0.606,0,4GYXExrdZbHgnkkS8Cyv7e,0.447,6,0.489,-12.566,1,Chemical Burn,48,2022-08-04,0.0339,124.976,2
