keyword,valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,cluster_label
성공,0.759,2019,0.561,"Leellamarz, ASH ISLAND, Keem Hyo-Eun, Hash Swan, CHANGMO",0.48,374780,0.396,0,7eDOrayTFdlgaxEbsR2gqQ,0.0,7,0.115,-8.984,0,AMBITION (Prod. by TOIL),38,2019-06-21,0.0623,83.995,0
성공,0.718,2018,0.937,OVAN,0.577,247063,0.627,0,23F5idO5E81O3VatxedjQM,0.0,4,0.111,-5.204,1,Happiness,34,2018-12-06,0.0785,118.935,10
성공,0.884,2012,0.427,"Primary, E SENS",0.637,235311,0.734,0,3BSuec8O8wWWUo82kaCw5T,0.0,8,0.18,-7.282,1,poison (Feat. E-Sens Of Supreme Team),31,2012-10-31,0.378,81.972,0
성공,0.739,2011,0.471,"Dok2, Zion.T",0.697,196453,0.717,0,6eX08sGMU7ynJoSfuoY2hf,0.0,8,0.121,-5.782,0,On My Way (Feat. Zion.T),23,2011-04-19,0.553,133.093,0
성공,0.366,2012,0.346,Beenzino,0.549,257919,0.669,0,0XAjKGJBKFVfiG3XvGwIcH,2.45e-06,2,0.0941,-5.646,1,If I Die Tomorrow,35,2012-07-03,0.0811,86.915,10
성공,0.842,2020,0.501,Wonstein,0.816,193622,0.51,0,0igz9eQ1yNnb8RG8gkuSOS,0.0,1,0.119,-8.231,0,X (Butterfly),0,2020-12-21,0.248,92.136,10
성공,0.216,2018,0.868,VINXEN,0.619,215054,0.62,0,3QglCjbhnoT7NPUOqU5zDK,0.00416,4,0.112,-8.664,0,Yoo Jae Suk,29,2018-09-17,0.229,73.767,8
성공,0.341,2018,0.868,"VINXEN, Woo",0.7,289416,0.494,0,0t3Oa8qVX8KIXjC3HZ5kVj,1.02e-05,6,0.109,-10.245,1,How Do You Feel (feat. Woo Won Jae),26,2018-06-07,0.245,94.87,8
성공,0.583,2017,0.326,Epik High,0.838,220552,0.611,0,3aFoxoOIdw6WNWH8ZdfXTh,0.0,6,0.0855,-6.419,1,BLEED,29,2017-10-23,0.0711,94.02,0
성공,0.0663,2021,0.712,Epik High,0.64,143430,0.459,0,61oCUBkGRfVEeJWXfdKUZ9,0.0,10,0.0428,-13.052,1,Lesson Zero,0,2021-01-18,0.248,95.187,8
