keyword,valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,cluster_label
시험,0.67,2016,0.00212,DAYBREAK,0.671,230456,0.771,0,7A9tpogI4hJOYFY9NLzw7z,7.44e-05,8,0.116,-3.641,1,Flower Road,32,2016-06-14,0.0434,111.978,0
시험,0.548,2022,0.342,DAVICHI,0.563,209307,0.803,0,0HnOuV8mqOxAhxT6Z2BVco,0.0,0,0.381,-2.144,1,Fanfare,33,2022-05-16,0.0451,97.977,10
시험,0.571,2021,0.0699,aespa,0.686,204933,0.901,0,6rVCUwfnuYTAsX4P9fIdIu,0.0,0,0.306,-0.21,1,Dreams Come True,62,2021-12-20,0.0614,98.977,10
시험,0.38,2020,0.145,NCT 127,0.552,225560,0.668,0,2MRnZFBKs7DaPo4TYk71Ky,0.0,6,0.145,-4.345,0,Dreams Come True,37,2020-03-06,0.0477,97.964,0
시험,0.301,2017,0.256,TAEYEON,0.357,219015,0.7,0,0HpVxENhdCmFyTtf08th8s,0.0,7,0.085,-4.153,1,Feel So Fine,33,2017-02-28,0.0454,89.995,2
시험,0.602,2020,0.287,Lovelyz,0.68,202107,0.904,0,4cyVnu1W88UuIdNusX8D1A,0.0,10,0.103,-2.056,0,Obliviate,37,2020-09-01,0.117,117.995,0
시험,0.311,2019,0.221,fromis_9,0.573,219305,0.783,0,1ZCGVuv3EIYK8d30kOdmq7,0.0,9,0.097,-3.495,1,FLY HIGH,33,2019-06-04,0.0493,94.954,2
시험,0.455,2022,0.237,WONPIL,0.684,209217,0.92,0,0ngLZreVVHj6xcDUgl47Dt,0.0,5,0.156,-3.872,1,행운을 빌어 줘 A journey,38,2022-02-07,0.0731,124.976,2
시험,0.779,2019,0.123,WJSN,0.652,195668,0.959,0,42zMiF3EFBg5CsYbgKdhj1,0.0,6,0.311,-0.266,1,As You Wish,50,2019-11-19,0.0617,112.04,0
시험,0.775,2019,0.00808,WJSN,0.739,201358,0.929,0,2Vt4SBPOFdns2tTWd2Hhf4,2.34e-05,10,0.121,-2.01,0,Luckitty-cat,32,2019-11-19,0.091,130.011,0
시험,0.821,2019,0.0314,SEVENTEEN,0.703,197333,0.854,0,6BuUJqtxrQZWKOJFibfFFv,0.0,2,0.0752,-3.65,0,Lucky,48,2019-09-16,0.085,133.028,10
시험,0.354,2019,0.0223,THE BOYZ,0.639,187439,0.936,0,6mtAKQyV0wxkg0vAxWn3sF,0.0,1,0.11,-3.54,1,Clover,34,2019-04-29,0.0435,131.993,2
시험,0.66,2016,0.0299,Red Velvet,0.6,203438,0.828,0,22v5j98MRwc6p5KgwHvpBZ,0.0,6,0.334,-3.453,1,Lucky Girl,41,2016-09-07,0.207,169.758,2
시험,0.615,2021,0.0179,ITZY,0.744,202280,0.855,0,23TP6Un2LWuBH13dCymqAt,0.0,11,0.0876,-3.098,1,Sooo LUCKY,8,2021-09-24,0.0512,112.988,0
시험,0.712,2012,0.00673,PEPPERTONES,0.527,260627,0.788,0,03JARaiVyO6xN2UNDi7NYZ,0.0,11,0.191,-3.65,1,Good Luck to You,31,2012-04-24,0.0298,151.992,0
시험,0.564,2022,0.0158,BTOB,0.636,194533,0.932,0,3WNX4vGlldP8nefl1c9SRE,0.0,5,0.346,-2.395,0,Higher,34,2022-02-21,0.212,109.051,0
시험,0.907,2021,0.292,NCT 127,0.843,209160,0.762,0,0u9IsnJI27kuhXQcxZaWBU,0.0,5,0.042,-2.121,0,Dreamer,38,2021-09-17,0.112,109.038,0
