keyword,valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,cluster_label
악뮤,0.872,2014,0.379,AKMU,0.853,193321,0.638,0,6qkx0tenDglbF21CU4wa1k,0.0,1,0.27,-4.911,1,200%,58,2014-04-07,0.0536,102.064,10
악뮤,0.414,2017,0.0633,DAY6,0.46,283160,0.615,0,3FR2yqZsG07NhXz7uPyUyC,0.0,5,0.109,-3.472,0,You Were Beautiful,65,2017-06-07,0.0331,167.927,2
악뮤,0.628,2019,0.723,D.O.,0.679,221373,0.442,0,2Ghu1DdMwxS3VAyB7i38Wo,0.0,7,0.231,-8.928,1,That's okay,65,2019-07-01,0.0637,129.671,8
악뮤,0.167,2017,0.66,AILEE,0.497,229678,0.431,0,2BPXILn0MqOe5WroVXlvN1,0.0,5,0.153,-4.755,0,I Will Go To You Like the First Snow,66,2017-01-07,0.0287,133.675,8
악뮤,0.961,2014,0.446,"SOYOU, Junggigo, lIlBOI",0.738,211375,0.676,0,0g1AmSKokPboFrxmG1dxKx,0.0,11,0.253,-3.025,0,Some (feat. Lil Boi),63,2014-02-07,0.0507,95.04,0
악뮤,0.631,2017,0.303,AKMU,0.767,240572,0.755,0,49KDK2ccYnOCYPeXfDO3YT,3.62e-05,11,0.105,-3.938,0,DINOSAUR,64,2017-07-20,0.03,120.978,0
악뮤,0.219,2016,0.843,Crush,0.416,227584,0.41,0,6mzF8HvHdVrzJNd8M1uFCS,0.0,10,0.107,-6.146,1,Beautiful,68,2016-12-17,0.0292,110.252,8
악뮤,0.256,2014,0.727,TAEYANG,0.632,229990,0.519,0,08mBjtIMyRWBh4Y4ubOuiK,0.0,0,0.265,-5.735,1,"EYES, NOSE, LIPS - KR Ver.",42,2014-05-28,0.0384,143.837,8
악뮤,0.627,2024,0.253,D.O.,0.84,187267,0.456,0,2FZKBbotZtXLQyedIV965w,0.0,9,0.0907,-5.554,1,Mars,72,2024-05-07,0.034,100.983,0
악뮤,0.587,2018,0.155,WINNER,0.762,203427,0.77,0,4Ve8XzRxQcAMyFWgqITHFk,0.0,2,0.0861,-3.154,1,REALLY REALLY - KR ver.,44,2018-02-07,0.0639,103.029,10
악뮤,0.839,2014,0.332,AKMU,0.793,176532,0.706,0,2A3ShNautqXezP1lFDePwa,0.0,5,0.0752,-4.536,1,Give Love,63,2014-04-07,0.0695,95.992,10
악뮤,0.746,2018,0.331,iKON,0.806,209648,0.707,0,3d3ELsqKlQ7WA0a10Isu3l,0.0,7,0.294,-4.623,1,LOVE SCENARIO,69,2018-01-25,0.0307,118.009,0
악뮤,0.545,2021,0.0965,Lee Mujin,0.609,231587,0.717,0,03qu1u4hDyepQQi2lNxCka,0.0,6,0.0694,-3.547,0,Traffic light,56,2021-05-14,0.0597,97.026,0
악뮤,0.286,2022,0.0758,Younha,0.534,300787,0.861,0,6RBziRcDeiho3iTPdtEeg9,0.0,11,0.167,-3.177,0,Event Horizon,56,2022-03-30,0.0361,97.977,0
악뮤,0.336,2018,0.792,Paul Kim,0.351,280359,0.29,0,3gucipmp9z0bf7pjEbtTX0,0.0,0,0.312,-8.34,1,Me After You,56,2018-10-29,0.0296,143.916,8
악뮤,0.228,2019,0.91,AKMU,0.52,290096,0.248,0,0hqj5JBnFt1BHEz2UCFwrl,1.36e-06,5,0.118,-8.675,1,"How can I love the heartbreak, you're the one I love",62,2019-09-25,0.0355,129.214,8
악뮤,0.211,2016,0.901,SOYOU,0.482,169449,0.344,0,3SfbB0Y3saMIQnNctxMVhj,0.0,5,0.129,-6.002,1,I Miss You,62,2016-12-31,0.0318,133.499,8
악뮤,0.341,2017,0.765,"HEIZE, Shin Yong Jae",0.509,205312,0.502,0,6FZAc2XaVYc8G8jaDnBshv,0.0,1,0.396,-6.972,0,"You, Clouds, Rain",56,2017-06-26,0.0915,79.16,8
악뮤,0.925,2023,0.257,"Zion.T, AKMU",0.84,148747,0.705,0,0qsv5I5fEnRoX2Enb3mBNr,0.000226,10,0.0669,-6.79,1,V (Peace) (feat. AKMU),52,2023-12-06,0.0918,160.064,0
악뮤,0.773,2017,0.391,10CM,0.858,197504,0.481,0,5Sh2pJT3VWTvkQOXPAaRiC,0.0,9,0.128,-3.649,1,Phonecert,49,2017-09-01,0.104,107.96,0
