keyword,valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,cluster_label
하루,0.34,2018,0.34,Markers Worship,0.422,399866,0.626,0,4vjRo4E41bwLIjOCUZiWhj,0.0,9,0.0751,-5.674,1,꽃들도 Flowers,32,2018-08-27,0.0354,135.883,2
하루,0.58,2018,0.199,Markers Worship,0.651,313940,0.859,0,0RG0ptQ6GS8yyxmIlZL5jf,1.03e-05,11,0.264,-5.572,0,Thank You Lord,0,2018-10-22,0.0351,130.07,0
하루,0.551,2018,0.052,Markers Worship,0.578,272603,0.882,0,2ARcgYLLhSDEBHFMwB4EQx,0.0005,4,0.105,-4.58,1,Endless Praise,0,2018-10-22,0.05,140.017,2
하루,0.379,2018,0.31,Markers Worship,0.549,304230,0.826,0,6tN1VGsh1PJIiCJOwNkhbY,4.09e-05,9,0.332,-5.63,1,You Came To Me,0,2018-10-22,0.038,102.036,2
하루,0.439,2018,0.0716,Markers Worship,0.54,287155,0.783,0,3GqD5HjMwLcLnXmvJsj3Z1,0.0,5,0.718,-5.112,1,Dwell In Your Heart,0,2018-10-22,0.0337,109.956,6
하루,0.702,2018,0.185,Markers Worship,0.605,254811,0.911,0,6hyAUMewkpgtIHKp9Uf8BO,0.0,7,0.472,-5.477,1,With You Again,0,2018-10-22,0.061,138.15,2
하루,0.518,2018,0.0975,Markers Worship,0.358,327272,0.818,0,2PYjJnRD2E3cPNdPFkqLrS,0.0,4,0.344,-6.002,1,내 마음을 가득 채운 Here I Am Again,32,2018-08-27,0.0399,175.945,2
하루,0.481,2018,0.844,WELOVE,0.482,360500,0.305,0,5D7hC0gkt5eYaOirvhjc2e,0.00132,2,0.126,-10.828,1,"우린 걸어가네 (제자세움 로고송) Together, We Walk",0,2018-11-22,0.0397,94.984,8
하루,0.451,2018,0.572,WELOVE,0.67,242000,0.616,0,7q2gLBCf4Mx5yY0qgwVrfw,8.13e-05,8,0.123,-8.629,1,고된 하루를 보내고 A Song for the Weary,0,2018-11-22,0.0777,104.987,0
하루,0.665,2018,0.391,WELOVE,0.599,270000,0.745,0,1TfwrykBgqyC6gL96qHdtn,0.0,0,0.241,-5.847,1,주 나와 함께하시니 For You Are with Me (시편 Psalm 23),0,2018-08-28,0.0749,111.96,10
