keyword,valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,cluster_label
행복,0.439,2024,0.019,ILLIT,0.757,140021,0.915,0,2kIUILBPlz4exX9xIFS275,0.0,0,0.201,-4.382,1,Lucky Girl Syndrome,78,2024-03-25,0.0678,119.986,10
행복,0.821,2018,0.241,IU,0.839,194426,0.617,0,4as4XEOR03oGm1STUKl6pa,0.0,7,0.3,-4.692,1,BBIBBI,66,2018-10-10,0.331,143.894,0
행복,0.389,2023,0.00289,HUH YUNJIN,0.618,150270,0.787,1,1d6xaY4JvvqTWfgCeJAtWa,0.0,7,0.146,-5.456,1,I ≠ DOLL,61,2023-01-09,0.0621,159.996,4
행복,0.839,2023,0.162,LE SSERAFIM,0.773,195512,0.879,0,74cpuIw43kA8xPgbQEPdss,0.0,8,0.0897,-3.623,1,Flash Forward,61,2023-05-01,0.0391,114.949,0
행복,0.233,2015,0.0666,"TAEYEON, Verbal Jint",0.506,206039,0.788,0,5ZkITfPpcNPnyYGTibkO6m,0.0,9,0.324,-2.372,1,I,59,2015-10-07,0.0324,89.993,2
행복,0.545,2021,0.0965,Lee Mujin,0.609,231587,0.717,0,03qu1u4hDyepQQi2lNxCka,0.0,6,0.0694,-3.547,0,Traffic light,56,2021-05-14,0.0597,97.026,0
행복,0.746,2023,0.0709,H1-KEY,0.679,195480,0.87,0,29j6SXQOmfSbiemMriO25W,0.0,6,0.0711,-2.952,1,Rose Blossom,52,2023-01-05,0.0489,94.019,0
행복,0.196,2022,0.634,LUCY,0.424,226880,0.663,0,0ddSLVdbpKFO1FtIYpYnw9,9.54e-05,5,0.112,-4.133,1,PLAY,47,2022-08-17,0.0391,186.093,2
행복,0.267,2024,0.172,DAVICHI,0.629,234787,0.761,0,1CjOylFGEsCzOlgd2xiEw2,0.0,1,0.152,-2.629,1,I′ll be by your side,43,2024-03-26,0.0293,99.975,10
행복,0.655,2022,0.198,Seori,0.733,180320,0.682,0,44p0v6RpEcT0ozV5WSM0b3,0.0,6,0.209,-4.309,1,Cinderella,43,2022-12-23,0.198,150.022,0
행복,0.644,2022,0.378,BOL4,0.655,204760,0.578,0,4b9LMCUaw55QajVRfrfPyS,0.0,5,0.109,-3.797,1,Seoul,43,2022-04-20,0.0384,95.978,10
행복,0.439,2023,0.0686,10CM,0.546,266147,0.643,0,0CTjpVWIfGtKKrluFFF0Ua,0.0,3,0.184,-2.882,1,My Ultimate First Love,42,2023-05-14,0.0328,105.449,2
행복,0.326,2022,0.576,MeloMance,0.47,237030,0.556,0,1eUQ5JMD5vGz24Wxcq8fDv,0.0,10,0.203,-5.163,1,Happy Song,41,2022-05-14,0.0278,88.834,8
행복,0.593,2020,0.569,CHEEZE,0.652,225333,0.719,0,4v1WbXCkegXLnHTXPe7yzx,0.0,0,0.131,-4.966,1,Today's Mood,41,2020-05-18,0.0397,96.006,10
행복,0.6,2022,0.0431,LUCY,0.436,235320,0.904,0,6FHZgDfoeAMCLTDEAQFkHq,1.05e-06,11,0.203,-3.44,1,Some Day in the 21century,41,2022-10-04,0.0506,171.94,2
행복,0.419,2023,0.186,"Paul Kim, BIG Naughty",0.744,199133,0.72,0,25QGSFaB28MnIp7CIX1Nkk,0.0,11,0.38,-4.255,1,HANGANG (Feat. BIG Naughty),40,2023-05-25,0.0304,105.053,0
행복,0.38,2022,0.478,WOODZ,0.718,195043,0.665,0,3Pc9NJtnXnFdhmqcQWXZnF,0.0,1,0.287,-4.352,1,About You,39,2022-06-10,0.0803,96.978,10
행복,0.702,2022,0.313,Lee Mujin,0.692,221760,0.672,0,2PmLP4DNUPJC98L78mrkal,6.75e-06,1,0.0736,-6.089,1,Reference,39,2022-06-23,0.0448,116.025,10
행복,0.362,2020,0.345,"Lee Seung Chul, TAEYEON",0.632,227000,0.742,0,0K0HXYXl26keaIiVH8dPI1,0.0,6,0.112,-5.247,1,My Love (Duet Ver.),39,2020-11-05,0.0407,112.09,2
행복,0.815,2016,0.329,"Urban Zakapa, Beenzino",0.719,210773,0.644,0,6Qm8MRcsr9VlRIGf1AJ1W5,0.0,0,0.218,-4.983,1,Thursday Night (feat.Beenzino),38,2016-08-25,0.0437,89.994,10
행복,0.88,2022,0.0112,SHAUN,0.65,232960,0.805,0,2CecbOSkOaZ2lQFVtOVTlT,5e-06,5,0.329,-5.403,1,Shooting Star,38,2022-12-09,0.0305,123.948,10
행복,0.901,2022,0.227,"Dynamicduo, Leellamarz",0.866,209813,0.697,0,6lny2zJqlDPBzgq1Eiy0a0,0.0,10,0.0269,-5.42,1,She Gonna Stop (Feat. Leellamarz) (Prod. TOIL),38,2022-10-04,0.195,112.015,0
행복,0.615,2022,0.103,JT&MARCUS,0.684,207080,0.803,0,1P0B7bgi2NfSoAM5awO1r0,0.0,8,0.135,-4.279,1,When the door opens,38,2022-05-05,0.0578,117.947,0
행복,0.837,2020,0.143,JUNE,0.713,217027,0.739,0,68A5OaBH9feTRySwoFpGSX,0.0,5,0.0641,-3.93,1,Anywhere,37,2020-07-28,0.0505,126.909,10
행복,0.54,2020,0.27,SUPER JUNIOR,0.779,191213,0.651,0,5FqgslYHEkv51KtapyWsBZ,0.0,0,0.333,-4.482,1,The Melody,37,2020-11-06,0.0358,110.057,10
행복,0.6,2021,0.127,"AKMU, Zion.T",0.741,225296,0.551,0,52nOiyRgQ7B7N7FjXhCCgz,7.08e-05,11,0.297,-7.483,1,BENCH (with Zion.T),36,2021-07-26,0.0372,107.977,0
행복,0.588,2018,0.213,"TAEYEON, MeloMance",0.522,187360,0.716,0,10X2ihhKwPyKzo89h4965O,0.0,10,0.0645,-4.13,1,Page 0,36,2018-08-10,0.0572,199.713,2
행복,0.288,2022,0.755,Kim Jong Wan of NELL,0.27,262144,0.499,0,30g5E9MteFxeG9pDvRKJNl,0.118,8,0.153,-7.821,1,Brave,36,2022-06-29,0.0301,184.313,2
행복,0.66,2022,0.0475,LEE CHANHYUK,0.721,198559,0.724,0,6faF0N0fecqw3dopttNP9i,0.0,0,0.128,-3.33,1,Panorama,35,2022-10-17,0.036,109.97,10
행복,0.327,2022,0.142,homezone,0.443,224500,0.729,0,5DFVWocetuRnKhy7WjO8Ht,0.0,5,0.0823,-4.79,1,Answer,34,2022-04-10,0.0579,83.917,2
행복,0.526,2023,0.859,Han All,0.78,232588,0.357,0,3vHAC5HrdyefPr5biodJGQ,0.0,2,0.104,-7.383,1,wish you all to be happy,33,2023-05-23,0.035,112.131,8
행복,0.633,2022,0.0144,MRCH,0.326,199149,0.799,0,5kFDEZPQLyyt7bvaiqPyRc,0.0,0,0.219,-3.986,1,Color It,32,2022-09-04,0.0459,187.404,2
행복,0.615,2023,0.2,Shinae An,0.554,148587,0.86,0,5bbGJRlU89huFWFR3GE42e,0.0,4,0.372,-3.393,1,A Day For Me,31,2023-05-20,0.0343,129.916,2
행복,0.404,2023,0.517,GIRIBOY,0.432,172361,0.492,0,4BiLpvhNDqeRPo065ZMCqB,0.0,2,0.112,-6.236,1,At Night,31,2023-02-05,0.0414,79.684,8
행복,0.334,2022,0.404,WENDY,0.663,276057,0.638,0,0jRA23cPBShrFIXPGfegQC,6.25e-06,6,0.182,-4.449,1,Girls,30,2022-04-09,0.0227,101.976,8
행복,0.236,2022,0.253,PL,0.526,215787,0.599,0,4mBSGhDX6mvp96LJbJpmnq,0.0,0,0.12,-3.87,1,DREAMLIKE,29,2022-02-12,0.0289,163.878,2
행복,0.421,2022,0.789,"HUNJIYA, pH-1",0.658,205856,0.481,0,6tCVRuYVGG6L5tjeOcxaqR,0.000129,9,0.364,-9.652,1,TALK2ME! (feat. pH-1),28,2022-07-13,0.0707,150.003,8
행복,0.36,2022,0.722,Vincent Blue,0.669,206625,0.366,0,3xq5Xe4iYlYypb2YUUTJwx,0.0,7,0.133,-9.107,1,Take it To the Grave,27,2022-07-11,0.0399,129.999,8
행복,0.959,2021,0.153,Kang Seung Yoon,0.682,195516,0.709,0,1WJtCrPY9tA5QSbBqwBmUU,0.0,8,0.298,-5.116,1,WE NEED LOVE,27,2021-03-29,0.0391,139.996,0
행복,0.747,2021,0.522,Yunsae,0.608,177937,0.58,0,1p0cy7P5OdzZtVJOzhjfSF,0.0,8,0.124,-5.132,1,flowerain,27,2021-05-31,0.0509,97.073,0
