keyword,valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,cluster_label
혐오,0.39,2017,0.0162,"Sam Tinnesz, Yacht Money",0.573,180691,0.539,0,7vguMCv8uVuZLiQJ156u3Z,1.16e-05,2,0.105,-6.091,0,Play with Fire (feat. Yacht Money),75,2017-07-07,0.0322,75.012,10
혐오,0.103,2017,0.614,Two Feet,0.532,181467,0.178,1,6MiVIH3fQlmz44jGx2DXn4,0.14,9,0.0985,-9.754,0,Love Is a Bitch,74,2017-05-19,0.0541,149.879,4
혐오,0.211,2020,0.193,Two Feet,0.561,169067,0.781,0,7aW115ZGsZcA0Y2HQxiUIU,0.0283,8,0.088,-6.588,1,You?,59,2020-03-13,0.052,104.956,2
혐오,0.8,2013,0.0483,Arctic Monkeys,0.691,161124,0.631,0,086myS9r57YsLbJpU0TgK9,1.13e-05,2,0.104,-6.478,1,Why'd You Only Call Me When You're High?,87,2013-09-09,0.0368,92.004,10
혐오,0.571,2018,0.00123,Nico Collins,0.644,189910,0.928,1,5FgdPkPCffPktT5qnWls8Y,0.0,6,0.0793,-2.966,0,Hate Me,62,2018-09-07,0.0939,95.059,4
혐오,0.337,2015,0.0678,The Neighbourhood,0.588,260173,0.521,0,5E30LdtzQTGqRvNd7l6kG5,0.149,10,0.123,-9.461,1,Daddy Issues,86,2015-10-30,0.0329,85.012,0
혐오,0.557,2020,0.216,Josef Salvat,0.715,180734,0.433,0,3CtVnowgaunIbfMGjD8trW,5.56e-06,11,0.278,-4.044,0,call on me,41,2020-05-15,0.0643,84.978,0
혐오,0.458,2010,0.301,Gain,0.781,228780,0.919,0,2mqPwYLP951Ga2VYXu0FIn,9.9e-05,7,0.0553,-2.119,1,Irreversible,21,2010-10-08,0.0682,105.986,0
혐오,0.0911,2015,0.0114,Chase Atlantic,0.422,230011,0.609,0,2jQiSYrwJehQAcuaaQrXnS,4.76e-06,11,0.108,-6.361,0,Friends,10,2015-02-21,0.0335,107.34,2
혐오,0.537,2019,0.024,Chase Atlantic,0.5,172387,0.742,1,2yi1xYIc58dUibi3iMvqWl,0.000119,9,0.27,-5.527,0,DEVILISH,3,2019-01-25,0.5,144.668,4
혐오,0.235,2018,0.708,Two Feet,0.717,185520,0.577,0,3aauaXWRgwCMoykMbI0Jq1,0.00422,8,0.0899,-5.436,1,I Feel Like I'm Drowning,78,2018-10-05,0.0491,104.926,8
혐오,0.651,2022,0.0433,WOOSUNG,0.857,154003,0.566,0,7HN1EbAnDwLNlhE9qIRNdh,0.000135,5,0.133,-4.461,1,Phase Me,0,2022-12-04,0.0309,104.067,10
혐오,0.279,2022,0.5,DPR IAN,0.669,182480,0.452,0,0nEsLR5KTySCO9CfyC2yjg,2.73e-06,4,0.119,-8.842,0,Mood,61,2022-07-29,0.0517,97.992,8
혐오,0.452,2021,0.129,(G)I-DLE,0.75,190027,0.821,0,7grg9q039coqkgTNJsHalJ,3.02e-06,1,0.147,-3.698,0,DAHLIA,17,2021-01-11,0.039,101.99,10
혐오,0.46,2020,0.0947,Stellar,0.712,166356,0.568,1,3Pj6u2KTgepyyidp5xfbHp,0.0,5,0.169,-7.864,0,Ashes,73,2020-05-03,0.0546,130.019,4
혐오,0.784,2022,0.0261,"The Attire, WOOSUNG",0.845,182198,0.67,1,7ldhMIeSYJQNYxdoZ0MKiM,0.000162,11,0.0767,-6.285,0,Sriracha (feat. WOOSUNG),0,2022-07-28,0.0537,111.037,4
혐오,0.795,2017,0.0316,Will Jay,0.846,207596,0.743,0,0CnKH5T5T3bAbpQnFCehvg,9.54e-06,7,0.0888,-6.328,1,Off The Record,0,2017-08-08,0.0832,111.974,0
혐오,0.788,2021,0.281,DPR IAN,0.806,187227,0.735,0,6syar8JKCt3R9ZBl11zmgI,0.000351,7,0.0722,-4.833,0,So Beautiful,66,2021-03-11,0.0491,122.025,0
혐오,0.781,2020,0.162,Will Bowes,0.451,168276,0.702,0,6Y7AUWTqDSqKv1Jqn5cYho,0.0,0,0.0483,-4.77,1,The Devil I Know,35,2020-01-17,0.35,102.054,10
혐오,0.496,2022,0.263,DPR IAN,0.668,144307,0.762,0,7I8fc2jrGKXtlWFYrV9ZIq,0.00208,11,0.0974,-5.508,0,1 Shot,56,2022-07-29,0.0614,170.033,0
혐오,0.713,2019,0.076,Christopher,0.759,191570,0.59,1,66zdGutAO6NJmMjH8ejBIq,0.0,1,0.329,-7.291,0,Bad,50,2019-02-22,0.12,95.866,4
혐오,0.539,2020,0.145,"Chancellor, Jay Park, LeeHi, BIBI, JAMIE, Moon Sujin, BUMKEY, Samuel Seo, SURAN, Babylon, Hoody, SUMIN, MRSHLL, Ann One, ELO, twlv, oceanfromtheblue, Jiselle, SOLE, THAMA",0.741,938893,0.654,1,2lCinwx9z9Fmr8kcXDei0c,0.0,7,0.436,-5.485,0,AUTOMATIC REMIX,44,2020-11-05,0.0495,100.003,4
혐오,0.635,2022,0.204,Isabel LaRosa,0.398,145668,0.705,0,37vVp2sWHuuIBOSl1NswP6,5.13e-05,5,0.443,-7.07,0,i'm yours,83,2022-10-28,0.0756,111.487,2
혐오,0.428,2021,0.0435,SUNMI,0.515,190960,0.858,0,6u2Fya3Vi0188LMR2Wbvh5,1.8e-05,9,0.0796,-3.136,1,꼬리 (TAIL),22,2021-02-23,0.19,125.07,2
혐오,0.187,2020,0.00622,SUNMI,0.658,179119,0.61,0,6fYDnLnVFV0n3FMxgEnIcg,0.0292,0,0.166,-6.692,0,Gotta Go,0,2020-02-06,0.0378,130.993,2
혐오,0.274,2014,0.0636,VIXX,0.564,225494,0.931,0,1vxAhQaTflNq4HBf1WkzyG,0.0,5,0.0952,-2.436,0,Error,31,2014-10-14,0.0521,128.019,2
혐오,0.564,2020,0.286,BAEKHYUN,0.684,205293,0.595,0,4dYODiAYvJHWQJtNganYCY,8.55e-06,4,0.106,-5.423,0,Love Again,59,2020-05-25,0.0364,95.059,0
혐오,0.58,2020,0.00085,DAY6,0.618,222765,0.899,0,7F9HWeJf4BTUzpj3B0CQKT,0.0,6,0.124,-3.364,0,Love me or Leave me,0,2020-05-11,0.0328,126.012,0
혐오,0.657,2015,0.0236,Nothing But Thieves,0.561,191947,0.764,0,730AR8R0KvjxVeHmrYy4OR,1.37e-05,1,0.209,-5.175,1,Honey Whiskey,52,2015-10-16,0.0422,90.004,10
혐오,0.321,2021,0.264,DPR IAN,0.627,195013,0.662,0,2qwplOI7upNGwg2mLVrraw,0.0,11,0.115,-4.773,0,Nerves,62,2021-03-11,0.035,140.007,0
혐오,0.296,2019,0.0189,ECÂF,0.759,198932,0.619,0,6FnIiJp2p04cpuDHNr6H71,6.3e-05,9,0.106,-8.02,0,Pictures,44,2019-07-19,0.0655,125.994,0
혐오,0.639,2021,0.765,Aidan Alexander,0.718,145773,0.367,0,5pgmgA0tTWYqXQP3gk6m56,0.000104,6,0.304,-8.971,0,the hills,38,2021-03-05,0.0274,100.039,0
혐오,0.242,2021,0.292,Rosenfeld,0.567,147413,0.481,0,656neoAxvwrA9812K99kTO,0.0,11,0.254,-8.787,1,Body,55,2021-07-30,0.033,103.945,8
혐오,0.65,2023,0.397,"YENA, BE'O",0.654,188280,0.822,0,1UjN1QVbHnzJiqjkqzWmZK,0.0,5,0.178,-4.307,0,Love War (Feat. BE'O),55,2023-01-16,0.164,100.094,0
혐오,0.823,2022,0.00437,Jackson Wang,0.535,163933,0.586,0,53WD6QvMGh7wXQVP0U8Rnr,0.0,7,0.0745,-8.256,1,Blow,58,2022-09-09,0.107,124.853,0
혐오,0.885,2021,0.133,DPR IAN,0.801,170800,0.686,0,4LkXtklCusSbi6UxYWgH8B,0.0,5,0.0882,-4.252,0,Scaredy Cat,61,2021-03-11,0.0414,120.007,0
혐오,0.265,2015,0.303,Adele,0.376,290900,0.595,0,6O5TrlFWTYvznd9fMC0VvU,0.0,3,0.095,-5.936,1,When We Were Young,77,2015-11-20,0.0496,144.361,2
