keyword,valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,cluster_label
화남,0.544,2001,0.00347,Drowning Pool,0.656,201960,0.932,0,7CpbhqKUedOIrcvc94p60Y,0.00147,4,0.144,-3.405,0,Bodies,76,2001-01-01,0.0708,130.936,2
화남,0.692,2009,0.0431,Skillet,0.64,178013,0.957,0,2UREu1Y8CO4jXkbvqAtP7g,0.0,8,0.0789,-2.336,1,Monster,79,2009-08-21,0.0741,134.992,0
화남,0.194,2004,0.000237,Slipknot,0.354,252613,0.982,0,61mWefnWQOLf90gepjOCb3,0.000294,4,0.204,-3.026,0,Duality,81,2004,0.168,143.772,2
화남,0.661,1992,0.0266,Rage Against The Machine,0.466,313573,0.833,1,59WN2psjkt1tyaxjspN8fp,0.0,7,0.0327,-4.215,1,Killing In The Name,80,1992,0.304,88.785,4
화남,0.545,2019,0.000311,I Prevail,0.546,153613,0.945,1,6Q1m1GyNxyOwZ2ud3p7XoS,0.0,1,0.724,-4.399,1,Gasoline,70,2019-03-29,0.0531,135.128,4
화남,0.453,2003,0.00461,Three Days Grace,0.498,231480,0.83,0,0M955bMOoilikPXwKLYpoi,0.0,6,0.139,-5.157,0,I Hate Everything About You,78,2003-04-19,0.0421,89.342,2
화남,0.299,2000,0.0466,Linkin Park,0.58,208960,0.702,0,57BrRMwf9LrcmuOsyGilwr,3.2e-06,4,0.536,-5.565,1,Crawling,79,2000,0.0337,105.076,2
화남,0.941,2000,0.000996,Disturbed,0.695,279213,0.876,1,40rvBMQizxkIqnjPdEWY1v,6.89e-06,3,0.106,-4.262,0,Down with the Sickness,78,2000-03-07,0.0553,89.954,4
화남,0.712,2015,0.000599,Five Finger Death Punch,0.537,206903,0.964,1,6efSwlK3LOlWOeKK9xlUKF,1.14e-05,9,0.0564,-4.157,1,Jekyll and Hyde,65,2015-09-04,0.113,155.017,4
화남,0.721,2003,0.0101,Korn,0.758,197907,0.813,1,2WSWm0zlL3CJRACHS5KXbB,0.0,0,0.538,-3.685,1,Y'all Want a Single,68,2003-11-19,0.0779,118.025,4
화남,0.29,2015,0.381,Melanie Martinez,0.518,199682,0.655,0,5H3TCfiw0CQTX1XU7A9TXM,0.0,8,0.271,-6.255,1,Cake,75,2015-08-14,0.0826,156.992,2
화남,0.581,1999,0.00132,Powerman 5000,0.56,177960,0.903,0,6aF5JtQSrh7wNrkDE9B0My,0.0,11,0.291,-4.77,1,When Worlds Collide,67,1999-01-01,0.0754,143.821,2
